-3.141593		-3.141593		3.1403194
-3.014660		-3.014660		3.0146710
-2.887727		-2.887727		2.8877362
-2.760794		-2.760794		2.7608000
-2.633861		-2.633861		2.6338635
-2.506927		-2.506927		2.5069274
-2.379994		-2.379994		2.3799922
-2.253061		-2.253061		2.2530582
-2.126128		-2.126128		2.1261256
-1.999195		-1.999195		1.9991938
-1.872262		-1.872262		1.8722625
-1.745329		-1.745329		1.7453309
-1.618396		-1.618396		1.6183987
-1.491463		-1.491463		1.4914655
-1.364530		-1.364530		1.3645315
-1.237597		-1.237597		1.2375968
-1.110664		-1.110664		1.1106622
-0.983731		-0.983731		0.9837280
-0.856798		-0.856798		0.8567949
-0.729865		-0.729865		0.7298631
-0.602932		-0.602932		0.6029325
-0.475999		-0.475999		0.4760028
-0.349066		-0.349066		0.3490732
-0.222133		-0.222133		0.2221431
-0.095200		-0.095200		0.0952110
0.031733		0.031733		0.0317361
0.158666		0.158666		0.1586775
0.285599		0.285599		0.2856083
0.412532		0.412532		0.4125380
0.539465		0.539465		0.5394676
0.666398		0.666398		0.6663977
0.793331		0.793331		0.7933289
0.920265		0.920265		0.9202613
1.047198		1.047198		1.0471950
1.174131		1.174131		1.1741295
1.301064		1.301064		1.3010642
1.427997		1.427997		1.4279986
1.554930		1.554930		1.5549322
1.681863		1.681863		1.6818649
1.808796		1.808796		1.8087967
1.935729		1.935729		1.9357281
2.062662		2.062662		2.0626596
2.189595		2.189595		2.1895918
2.316528		2.316528		2.3165250
2.443461		2.443461		2.4434596
2.570394		2.570394		2.5703953
2.697327		2.697327		2.6973318
2.824260		2.824260		2.8242682
2.951193		2.951193		2.9512039
3.078126		3.078126		3.0781362
3.205059		3.205059		3.0781362
3.331992		3.331992		2.9512039
3.458925		3.458925		2.8242682
3.585858		3.585858		2.6973318
3.712791		3.712791		2.5703953
3.839724		3.839724		2.4434596
3.966657		3.966657		2.3165250
4.093590		4.093590		2.1895918
4.220523		4.220523		2.0626596
4.347457		4.347457		1.9357281
4.474390		4.474390		1.8087967
4.601323		4.601323		1.6818649
4.728256		4.728256		1.5549322
4.855189		4.855189		1.4279986
4.982122		4.982122		1.3010642
5.109055		5.109055		1.1741295
5.235988		5.235988		1.0471950
5.362921		5.362921		0.9202613
5.489854		5.489854		0.7933289
5.616787		5.616787		0.6663977
5.743720		5.743720		0.5394676
5.870653		5.870653		0.4125380
5.997586		5.997586		0.2856083
6.124519		6.124519		0.1586775
6.251452		6.251452		0.0317361
6.378385		6.378385		0.0952110
6.505318		6.505318		0.2221431
6.632251		6.632251		0.3490732
6.759184		6.759184		0.4760028
6.886117		6.886117		0.6029325
7.013050		7.013050		0.7298631
7.139983		7.139983		0.8567949
7.266916		7.266916		0.9837280
7.393849		7.393849		1.1106622
7.520782		7.520782		1.2375968
7.647715		7.647715		1.3645315
7.774648		7.774648		1.4914655
7.901582		7.901582		1.6183987
8.028515		8.028515		1.7453309
8.155448		8.155448		1.8722625
8.282381		8.282381		1.9991938
8.409314		8.409314		2.1261256
8.536247		8.536247		2.2530582
8.663180		8.663180		2.3799922
8.790113		8.790113		2.5069274
8.917046		8.917046		2.6338635
9.043979		9.043979		2.7608000
9.170912		9.170912		2.8877362
9.297845		9.297845		3.0146710
9.424778		9.424778		3.1403194
